Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1257488,1257488.00,43974.00,"DSF0000822668, DSF0000891037, DSF0000877297, DSF0000877298, DSF0000877299"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,Scope,Complete,11/23/2016,3/29/2017,4/20/2017,258990,138919.00,138919.00,"DSF0000832752, DSF0000877293, DSF0000877313"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,Design,Complete,10/10/2018,3/15/2019,5/10/2019,1035960,812704.00,676177.00,"DSF0000832752, DSF0000877293, DSF0000877313"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,Construction,In-Progress,5/21/2021,5/19/2024,,19424250,18214090.00,16938837.00,"DSF0000832752, DSF0000877293, DSF0000877313"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,EMERGENCY GENERATOR / LOW-VOLTAGE ELECTRICAL SYSTEM / FIRE SYSTEM SPRINKLERS,"CM,F&E",In-Progress,5/21/2021,5/19/2024,,1208621,1065739.00,1043144.00,"DSF0000832752, DSF0000877293, DSF0000877313"
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Scope,Complete,9/11/2019,1/13/2020,12/18/2019,8140,11138.00,11138.00,DSF0000912803
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Design,Complete,1/8/2020,6/15/2020,6/30/2020,36630,40339.00,36594.00,DSF0000912803
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,Construction,In-Progress,3/30/2022,12/24/2022,,472120,483127.00,378000.00,DSF0000912803
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP,CHARTER MATCH INTERIOR SPACES,"CM,F&E",In-Progress,3/30/2022,12/24/2022,,205263,180212.00,175493.00,DSF0000912803
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Scope,Complete,5/31/2022,8/29/2022,12/22/2022,0,40189.00,40189.00,DSF0001033701
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Design,PNS,PNS,PNS,PNS,45000,4811.00,1724.00,DSF0001033701
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,Construction,PNS,PNS,PNS,PNS,660000,23906598.00,0.00,DSF0001033701
2,M620,MURRAY HILL ACADEMY HS - M,SCA CIP RESOA,FY22 RESO ESCALATOR UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,45000,1629995.00,6051.00,DSF0001033701
2,M620,MANHATTAN ACADEMY OF ARTS AND LANGUAGE - MANHATTAN,Fast Track Projects,CTF- ROOM CONVERSION,Construction,In-Progress,10/31/2014,FTK,,FTK,445969.00,420198.00,DSF0000800277
2,M620,UNITY HS - MANHATTAN,Fast Track Projects,CTF- ROOM CONVERSION,Construction,In-Progress,11/4/2014,FTK,,FTK,501369.00,447160.00,DSF0000800278
2,M620,MURRAY HILL ACADEMY HS - M,Fast Track Projects,TEMPORARY EMERGENCY GENERATOR,Construction,In-Progress,7/10/2017,FTK,,FTK,718461.00,658779.00,DSF0000866187
2,M620,MURRAY HILL ACADEMY HS - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/12/2024,DIIR,6/3/2024,DIIR,100000.00,100000.00,DSF0001086316
2,M620,UNITY HS - MANHATTAN,DOE - Skilled Trades,CHILLER REPLACEMENT,Construction,In-Progress,7/2/2019,DOES,,DOES,3668432.00,0.00,DSF0000877310
2,M620,MURRAY HILL ACADEMY HS - M,DOE - Skilled Trades,ADA SHELTER COMPLIANCE RAMP,Construction,In-Progress,7/13/2018,DOES,,DOES,203473.00,0.00,DSF0000889362
2,M620,MANHATTAN ACADEMY OF ARTS AND LANGUAGE - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,1/20/2024,DOES,,DOES,668913.00,0.00,DSF0001085748
2,M625,THE BUSINESS OF SPORTS SCHOOL,SCA IEH,PO18-ACM CORE DRILLING REQUEST 2 HOLES THAT NEED TO BE DRILLED IN THE FLOOR DUE TO ASSUMED ACM WE NE,Construction,In-Progress,7/5/2024,IEH,,IEH,931.00,181.00,SCA0000073118
2,M625,THE BUSINESS OF SPORTS SCHOOL,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION IN THE 7TH FLOOR HALLWAY CEILING ACCESS PANEL. WE ARE GOING TO N,Construction,In-Progress,8/23/2024,IEH,,IEH,121.00,121.00,SCA0000073314
2,M625,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,12/21/2023,DIIR,,DIIR,75000.00,0.00,DSF0001033228
2,M625,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001035773
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Scope,Complete,9/16/2014,10/31/2014,10/27/2014,716528,902217.00,895328.00,DSF0000800281
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Design,Complete,10/28/2014,4/15/2015,4/19/2019,3224378,3581095.00,3250771.00,DSF0000800281
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,Construction,In-Progress,8/19/2024,9/3/2026,,40662990,37774151.00,974325.00,DSF0000800281
2,M634,NEW YORK HARBOR SCHOOL ANNEX - MANHATTAN,SCA Lease Site Improvement,LEASE,"CM,F&E",In-Progress,8/19/2024,9/3/2026,,5732228,2842105.00,243424.00,DSF0000800281
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Scope,Complete,6/19/2019,11/4/2019,1/30/2020,266212,259278.00,257923.00,"DSF0000900222, DSF0000900224, DSF0000900225, DSF0000900234, DSF0000945688, DSF0000945680, DSF0000960728, DSF0000945679"
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Design,Complete,2/5/2020,7/7/2020,10/28/2021,1321071,909569.00,651083.00,"DSF0000900222, DSF0000900224, DSF0000900225, DSF0000900234, DSF0000945688, DSF0000945680, DSF0000960728, DSF0000945679"
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,Construction,In-Progress,8/15/2023,2/9/2026,,28859726,25893674.00,3804601.00,"DSF0000900222, DSF0000900224, DSF0000900225, DSF0000900234, DSF0000945688, DSF0000945680, DSF0000960728, DSF0000945679"
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS,"CM,F&E",In-Progress,8/15/2023,2/9/2026,,1938432,649984.00,637185.00,"DSF0000900222, DSF0000900224, DSF0000900225, DSF0000900234, DSF0000945688, DSF0000945680, DSF0000960728, DSF0000945679"
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/17/2023,7/18/2023,3/21/2023,4200,2783.00,2783.00,DSF0001034645
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/21/2023,9/14/2023,5/4/2023,18900,11134.00,11134.00,DSF0001034645
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,3/13/2024,1/6/2025,,243600,220260.00,3760.00,DSF0001034645
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,3/13/2024,1/6/2025,,45150,24168.00,1488.00,DSF0001034645
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA IEH,PO18-ABATE PIPE AND WALLS IN BATHROOM 2 LOCATIONS ON THE 4TH FLOOR WALL OPENINGS 420 AND 520 -5TH FL,Construction,Complete,3/28/2024,IEH,4/6/2024,IEH,21543.00,21543.00,SCA0000072880
2,M641,CITY-AS-SCHOOL - MANHATTAN,SCA IEH,"PO18-ROOM B20, ABATE 30 SQ. FT. BROKEN AND MISSING FLOOR TILES ROOM 310, ABATE 4 SQ. FT. BROKEN AND",Construction,In-Progress,5/9/2024,IEH,,IEH,1276.00,526.00,SCA0000072993
2,M641,CITY-AS-SCHOOL - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0000961314
2,M641,M721 SPED - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/8/2024,DIIR,5/15/2024,DIIR,100000.00,100000.00,DSF0001033247
2,M641,CITY-AS-SCHOOL - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/10/2024,DIIR,5/19/2024,DIIR,105000.00,2112.00,DSF0001035224
2,M641,M721 SPED - MANHATTAN,DOE - RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,7/14/2023,DOER,,DOER,135106.00,0.00,DSF0000890682
2,M641,CITY-AS-SCHOOL - MANHATTAN,DOE - RESOA,FY21 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,74000.00,0.00,DSF0001007813
2,M641,CITY-AS-SCHOOL - MANHATTAN,DOE - RESOA,FY23 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,6/20/2024,DOER,,DOER,24870.00,0.00,DSF0001035225
2,M641,CITY-AS-SCHOOL - MANHATTAN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112902
2,M641,CITY-AS-SCHOOL - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,11/5/2021,DOES,,DOES,149409.00,0.00,DSF0001008699
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Scope,Complete,5/18/2021,8/17/2021,6/15/2022,75078,92585.00,92585.00,"DSF0000994498, DSF0001020127"
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Design,Complete,6/16/2022,12/20/2022,5/5/2023,375390,367778.00,298012.00,"DSF0000994498, DSF0001020127"
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,Construction,In-Progress,8/7/2023,8/5/2025,,8446279,8064547.00,2737466.00,"DSF0000994498, DSF0001020127"
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,SCA CIP,FIRE ALARM SYSTEM / VENTILATION,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,525546,215762.00,215626.00,"DSF0000994498, DSF0001020127"
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,Fast Track Projects,LSP HOT WATER HEATER,Construction,In-Progress,12/26/2018,FTK,,FTK,238445.00,231046.00,DSF0000854763
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/10/2024,DIIR,5/14/2024,DIIR,50000.00,50000.00,DSF0001035774
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/20/2024,DIIR,6/3/2024,DIIR,50000.00,50000.00,DSF0001086317
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001112903
2,M645,THE HIGH SCHOOL FOR CLIMATE JUSTICE,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,9/19/2022,DOES,,DOES,76580.00,0.00,DSF0001009108
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Scope,Complete,2/24/2021,7/9/2021,12/7/2021,38648,135138.00,127579.00,"DSF0000945735, DSF0000945739, DSF0000945740"
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Design,Complete,12/15/2021,5/18/2022,5/10/2022,180499,136798.00,111323.00,"DSF0000945735, DSF0000945739, DSF0000945740"
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,2959136,2959136.00,260054.00,"DSF0000945735, DSF0000945739, DSF0000945740"
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,366093,366093.00,53911.00,"DSF0000945735, DSF0000945739, DSF0000945740"
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,9/2/2022,1/6/2023,10/28/2022,6200,11767.00,11767.00,DSF0001034585
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,10/28/2022,4/27/2023,3/8/2023,27900,47071.00,47071.00,DSF0001034585
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,9/8/2023,7/3/2024,,359600,325817.00,225857.00,DSF0001034585
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,9/8/2023,7/3/2024,,189922,175067.00,121692.00,DSF0001034585
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE,Scope,Complete,12/6/2023,4/9/2024,5/17/2024,0,13854.00,2926.00,DSF0001086318
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE,Design,In-Progress,5/21/2024,10/7/2024,,30000,39276.00,11702.00,DSF0001086318
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000.00,750.00,DSF0001086318
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,FY24 RESO A LOCKER ROOM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,30000,30000.00,20263.00,DSF0001086318
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Scope,Complete,2/26/2024,5/28/2024,5/17/2024,0,0.00,0.00,DSF0001087047
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Design,In-Progress,5/21/2024,9/24/2024,,2846,2846.00,0.00,DSF0001087047
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,41748,41748.00,0.00,DSF0001087047
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2846,2846.00,2058.00,DSF0001087047
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,SCA Emergency Response,EMERGENCY SIDEWALK BRIDGING,Construction,In-Progress,4/15/2022,EMER,,EMER,,0.00,SCA0000071043
2,M660,M226 SPED - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000.00,0.00,DSF0001086319
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112904
2,M660,SCHOOL OF THE FUTURE - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/1/2024,DOES,7/9/2024,DOES,65832.00,,DSF0001084979
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Scope,Complete,3/7/2019,7/8/2020,6/22/2020,61612,162213.00,151739.00,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753, DSF0000960823"
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Design,Complete,6/22/2020,8/3/2020,6/30/2020,288665,254059.00,232118.00,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753, DSF0000960823"
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,Construction,In-Progress,1/3/2022,8/25/2023,,4817622,4606043.00,4035019.00,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753, DSF0000960823"
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA CIP,FACADE REMEDIATION / WINDOWS / PARAPETS / FLOOD ELIMINATION / PATH OF TRAVEL FLOOD ELIMINATION,"CM,F&E",In-Progress,1/3/2022,8/25/2023,,576714,561181.00,551930.00,"DSF0000961180, DSF0000960822, DSF0000945755, DSF0000945753, DSF0000960823"
2,M661,MNHT COMPR. NIGHT & DAY HS - M,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/10/2023,DOES,,DOES,195635.00,0.00,DSF0001034246
2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033619
2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033619
2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033619
2,M777,M000 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033619
2,M777,M000 - MANHATTAN,DOE - RESOA,FY23 RESO A SCHOOL SAFETY,Construction,PNS,PNS,PNS,PNS,DOER,70000.00,0.00,DSF0001035209
2,M807,HARVEY MILK SCHOOL - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086322
2,M816,P.S. 527 - MANHATTAN,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,3/26/2024,IEH,4/12/2024,IEH,9868.00,9868.00,SCA0000072870
2,M816,P.S. 527 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,125000.00,0.00,DSF0001086324
2,M816,P.S. 527 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,175000.00,0.00,DSF0001112906
2,M816,P.S. 527 - MANHATTAN,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,176702.00,0.00,DSF0001033713
2,M816,P.S. 527 - MANHATTAN,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,In-Progress,5/25/2023,DOER,,DOER,259030.00,0.00,DSF0001034301
2,M816,P.S. 527 - MANHATTAN,DOE - Skilled Trades,BOILER REPLACEMENT,Construction,In-Progress,4/24/2019,DOES,,DOES,1429795.00,0.00,DSF0000911437
2,M816,P.S. 527 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/26/2022,DOES,,DOES,194652.00,0.00,DSF0001009207
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Scope,Complete,5/20/2019,9/23/2019,7/18/2019,140676,220325.00,220325.00,"SCA0000049166, DSF0000960503"
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Design,Complete,7/24/2019,12/26/2019,12/5/2019,696032,1264577.00,967967.00,"SCA0000049166, DSF0000960503"
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,Construction,In-Progress,6/14/2023,2/2/2025,,15025246,13564352.00,6880311.00,"SCA0000049166, DSF0000960503"
2,M824,MILLENNIUM HS - MANHATTAN,SCA CIP,UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,6/14/2023,2/2/2025,,1044922,649943.00,253109.00,"SCA0000049166, DSF0000960503"
2,M824,MILLENNIUM HS - MANHATTAN,Fast Track Projects,FY19 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/1/2019,FTK,,FTK,154172.00,133756.00,DSF0000890674
2,M824,MILLENNIUM HS - MANHATTAN,DOE - RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,In-Progress,1/16/2018,DOER,,DOER,479756.00,0.00,DSF0000866404
2,M824,MILLENNIUM HS - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/11/2024,DOES,,DOES,65832.00,0.00,DSF0001085488
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT,Scope,Complete,8/12/2019,12/13/2019,3/30/2020,43701,48744.00,48744.00,DSF0000900344
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT,Design,Complete,3/31/2020,7/17/2020,6/19/2020,218503,200082.00,176926.00,DSF0000900344
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT,Construction,PNS,PNS,PNS,PNS,4916315,4916315.00,8878.00,DSF0000900344
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA CIP,ABSORBER REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,305904,305904.00,62947.00,DSF0000900344
2,M833,HS FOR ECONOMICS & FINANCE - M,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,6/3/2024,IEH,6/4/2024,IEH,9499.00,9310.00,SCA0000073066
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,ROOF,Scope,Complete,1/30/2019,6/14/2019,1/10/2022,25250,52209.00,40697.00,DSF0000891027
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,ROOF,Design,Complete,1/13/2022,6/15/2022,4/22/2022,126250,327056.00,170965.00,DSF0000891027
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,ROOF,Construction,In-Progress,9/12/2022,3/12/2024,,2840625,2714609.00,2379171.00,DSF0000891027
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,ROOF,"CM,F&E",In-Progress,9/12/2022,3/12/2024,,176750,442113.00,314340.00,DSF0000891027
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Scope,Complete,6/24/2021,11/26/2021,1/19/2022,34972,60798.00,60798.00,DSF0001009200
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Design,Complete,1/20/2022,6/21/2022,10/27/2022,174858,193384.00,169529.00,DSF0001009200
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,Construction,PNS,PNS,PNS,PNS,3934303,3934303.00,9081.00,DSF0001009200
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP,HEATING PLANT UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,244801,244801.00,8939.00,DSF0001009200
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113622
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113622
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113622
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113622
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,Scope,Complete,12/6/2023,3/25/2024,7/19/2024,0,23423.00,9419.00,DSF0001086325
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,SCA CIP RESOA,FY24 RESO A CULINARY KITCHEN,Design,In-Progress,7/30/2024,1/2/2025,,42000,37669.00,37669.00,DSF0001086325
